COD_ISBN	AUTORI	TITOLO	STITOLO	EDIZIONE	TITOLOC	PREZZO	NUPAG	NOTA
9788808199553	"CAGLIERO Giorgio"	"Meccanica, macchine ed energia"	"Per Meccanica ed Energia"		"Volume 1 con risorse digitali Scuolabook"	3300	432	"197x266, 2012"
9788808427083	"CAGLIERO Giorgio"	"Meccanica, macchine ed energia"	"Per Meccanica ed Energia"		"Volume 2 con risorse digitali Scuolabook"	2770	352	"197x266, 2012"
9788808427106	"CAGLIERO Giorgio"	"Meccanica, macchine ed energia"	"Per Meccanica ed Energia"		"Volume 3 con risorse digitali Scuolabook"	3180	432	"197x265, 2012"
9788808320636	"CIABATTI Nello-DI CAPUA Umberto-DI COSTANZO Gennaro"	"L'arte dell'ospitalità"	"Laboratori di servizi enogastronomici - Settore sala e vendita"		"Volume primo biennio"	2270	336	", Clitt editore. Distribuzione esclusiva Zanichelli, 197x285, 2019"
9788808720931	"BAROZZI Graziella-BERGAMINI Massimo"	Matematica.in3passi			"Volume 1"	1020	160	", , 197x265, 2017"
9788808926784	"BAROZZI Graziella-BERGAMINI Massimo"	Matematica.in3passi			"Volume 2"	1020	144	", , 197x265, 2017"
9788808072252	"CLARI Michela-CORTESE Lucia-MARTIGNON-BURGHOLTE Roberta"	"Il primo Zanichelli di inglese"			"Volume unico"	2170	1032	"73 000 voci, 300 illustrazioni, 140x205, 2012"
9788808041708	"DELL'ORO Aldo"	"Art. 343-389"	"TUTELA DEI MINORI"	"1 ed."	"Volume unico"	4230	324	"180x245, 1979"
9788808168221	"GALGANO Francesco-SBISÀ Giuseppe"	"ART. 2497-2497 septies"	"Direzione e coordinamento di società"	"Seconda edizione"	"Volume unico"	8290	424	"180x245, 2014"
9788808194817	"RODATO Silvano"	"Alimentazione & territorio"	"Scienza e cultura dell'alimentazione per i Servizi di Accoglienza turistica"		"Confezione volume unico con CD-ROM + Quaderno operativo"	3590	604	"Clitt editore. Distribuzione esclusiva Zanichelli, 197x287, 2012"
9788808734891	"RODATO Silvano"	"Alimentazione & territorio"	"Scienza e cultura dell'alimentazione per i Servizi di Accoglienza turistica"		"Volume per il quinto anno"	1780	288	"Clitt editore. Distribuzione esclusiva Zanichelli, 195x285, 2012"
9788808621139	"BAROZZI Graziella-BERGAMINI Massimo-CANNAS Anna-CERNEAZ Sabrina"	"Matematica in cucina, in sala, in albergo"			"Volume 1"	2440	480	", , 197x264, 2017"
9788808746856	"BAROZZI Graziella-BERGAMINI Massimo-CANNAS Anna-CERNEAZ Sabrina"	"Matematica in cucina, in sala, in albergo"			"Volume 2"	2410	416	", , 197x265, 2017"
9788808263605	"BREEDLOVE S. Mark-WATSON Neil V."	"Il cervello e la mente"	"Le basi biologiche del comportamento"		"Volume unico"	5150	456	"Trad. di R. Lucchi, A. Poli, G. Zunica, 210x285, 2014"
9788808620439	"CERA Mario-DI VALENTIN Simona"	"Gli investimenti finanziari. Imprese e servizi"			"Volume unico"	2200	224	", , 170x240, 2020"
9788808820327	"CONTESSA Gian Marco-MARZO Giuseppe Augusto"	"Fisica applicata alle scienze mediche"			"Volume unico"	2500	224	", Casa Editrice Ambrosiana. Distribuzione esclusiva Zanichelli, 195x270, 2019"
9788808084873	"GIUSTI Francesco-SANTOCHI Marco"	"Tecnologia meccanica"	"E studi di fabbricazione"	"Seconda edizione"	"Volume unico"	8200	688	"Casa Editrice Ambrosiana. Distribuzione esclusiva Zanichelli, 195x270, 2000"
9788808434708	"AMALDI Ugo"	L'Amaldi.bianco	"Meccanica, Termodinamica, Elettromagnetismo, Onde"		"Volume unico"	1720	224	"210x285, 2014"
9788808534705	"AMALDI Ugo"	L'Amaldi.bianco	"Meccanica, Termodinamica, Elettromagnetismo, Onde"		"Volume unico"	1970	224	"210x285, 2014"
9788808920690	"COX Michael M-MELLONI Edon-NELSON David L"	"Principi di biochimica di Lehninger"		"Settima edizione"	"Volume unico + ebook"	16050	1280	", , 200x295, 2018"
9788808343666	"FANTINI Fabio-MONESI Simona-PIAZZINI Stefano"	"La Terra e il paesaggio"			"Dinamiche della geosfera con risorse digitali Scuolabook"	1940	272	"Italo Bovolenta editore. Distribuzione esclusiva Zanichelli, 230x285, 2012"
9788808900616	"CUCCIOLI MELLONI Rita"	"Itinera compone"	"Versionario di latino"		Versionario	2270	456	"197x266, 2014"
9788808072795	"AGAZZI Pierangelo-VILARDO Massimo"	Triàkonta	"Versioni di greco per il triennio"		"Volume unico"	3220	496	"170x240, 2006"
9788808820990	"RONCHETTI Paolo"	"Lezioni di diritto ed economia"			"Volume unico"	2560	496	", , 210x285, 2017"
9788808220967	"CAPPA Stefano-DENES Gianfranco-GROSSI Dario-GUARIGLIA Cecilia-LUZZATTI Claudio Giuseppe-PIZZAMIGLIO Luigi"	"Manuale di neuropsicologia"	"Normalità e patologia dei processi cognitivi"	"Terza edizione"	"Volume unico + ebook"	12850	1264	", , 180x250, 2019"
9788808182173	"GUARNIERI Carlo-LIEBERMAN Michael-MARKS Allan"	"Marks biochimica medica"	"Un approccio clinico"	"Seconda edizione"	"Volume unico"	11150	1008	"Casa Editrice Ambrosiana. Distribuzione esclusiva Zanichelli, 225x285, 2010"
9788808167309	"LUPIA PALMIERI Elvidio-PAROTTO Maurizio"	"Il Globo terrestre e la sua evoluzione"		"Sesta edizione"	"Volume unico"	4850	600	"230x285, 2008"
9788808062970	"SCHLUTER Dolph-WHITLOCK Michael C."	"Analisi statistica dei dati biologici"	"Edizione italiana a cura Giorgio Bertorelle"		"Volume unico"	5300	464	"Trad. di A. Suvero, rev. di G. Bertorelle., 197x285, 2010"
9788808320858	"GENTILE Antonino-TIFI Alfredo-VALITUTTI Giuseppe"	"Chimica adesso"			"Volume unico"	2140	288	", , 197x265, 2016"
9788808259226	"MATASSI Carla-MENCHETTI Marzia"	"New Totally Connected"		"seconda edizione"	"Volume unico"	2580	340	"Clitt editore. Distribuzione esclusiva Zanichelli, 197x285, 2014"
9788808059802	"CORBELLINI Giancarlo"	"Guida all'orientamento"	"con la carta, la bussola, il cielo"		"Volume unico"	3260	160	"102 i., 145x215, 1985"
9788808083616	"AGATI Patrizia-CALÒ Daniela Giovanna-MONTANARI Angela"	Statistica	"Con esercizi commentati e risolti"		"Volume unico"	3700	448	"Casa Editrice Ambrosiana. Distribuzione esclusiva Zanichelli, 160x265, 1998"
9788808373618	"BAROZZI Graziella-BERGAMINI Massimo-CANNAS Anna-CERNEAZ Sabrina-TRIFONE Anna"	"Matematica in cucina, in sala, in albergo"			"Volume per il secondo biennio e quinto anno + Tutor"	2990	672	", , 197x267, 2020"
9788808720849	"CANNAROZZO Renato-CUCCHIARINI Lanfranco-MESCHIERI William"	"Genio rurale"			"Volume 1"	2890	400	", , 197x265, 2016"
9788808937766	"CANNAROZZO Renato-CUCCHIARINI Lanfranco-MESCHIERI William"	"Genio rurale"			"Volume 2"	2950	408	", , 197x266, 2016"
9788808337924	"CALITTI Floriana"	"Incontri di autori e testi"			"Volume 3.1 Dal Naturalismo al Decadentismo"	1340	432	", , 197x265, 2016"
9788808437440	"CALITTI Floriana"	"Incontri di autori e testi"			"Volume 1 Dalle origini ad Ariosto e Tasso"	3160	1120	", , 197x266, 2016"
9788808537928	"CALITTI Floriana"	"Incontri di autori e testi"			"Volume 3.2 Percorso della poesia del Novecento + Percorso della narrativa del Novecento"	3220	1152	", , 197x265, 2016"
9788808737892	"CALITTI Floriana"	"Incontri di autori e testi"			"Confezione volume 1 Dalle origini ad Ariosto e Tasso + Bruscagli Giudizi, Commedia Antologia dei canti"	4200	1648	", , 197x265, 2016"
9788808837912	"CALITTI Floriana"	"Incontri di autori e testi"			"Volume 2 Dal Barocco a Manzoni e Leopardi"	3270	960	", , 197x266, 2016"
9788808920706	"BRESSANINI Dario"	"OGM tra leggende e realtà"	"Alla scoperta delle modifiche genetiche nel cibo che mangiamo"	"Seconda edizione"	"Volume unico"	1430	288	", , 127x198, 2018"
9788808420367	"RIGHI BELLOTTI Anna-SELMI Claudia"	"Economia globale"	"Relazioni internazionali per l'articolazione RIM"	"seconda edizione"	"Volume 1 per il secondo biennio"	2750	560	", , 197x266, 2020"
9788808892522	"RIGHI BELLOTTI Anna-SELMI Claudia"	"Economia globale"	"Relazioni internazionali per l'articolazione RIM"	"seconda edizione"	"Volume 2 per il quinto anno"	2350	512	", , 197x266, 2020"
9788808820945	"FAENZA Francesca-MONTI Paolo"	"Iuris tantum"	"Fino a prova contraria"	"Seconda edizione"	"Diritto civile e commerciale"	2890	496	", , 197x265, 2017"
9788808964755	"FAENZA Francesca-MONTI Paolo"	"Iuris tantum"	"Fino a prova contraria"	"Seconda edizione"	"Diritto pubblico"	2370	448	", , 197x265, 2017"
9788808092571	"PAGANI Carlo Domenico-SALSA Sandro"	Matematica	"Per i diplomi universitari"		"Volume unico"	3340	328	"175x245, 1997"
9788808258861	"MYERS David G"	"Psicologia generale"	"Un'introduzione al pensiero critico e all'indagine scientifica"		"Volume unico"	5100	600	"197x270, 2014"
9788808321282	"DURANTI Marcello"	"Introduzione allo studio delle proteine"			"Volume unico"	2560	208	", , 197x270, 2016"
9788808254856	"TAMMET Daniel"	"La poesia dei numeri"	"Come la matematica mi illumina la vita"		"Volume unico + risorse digitali"	1420	272	"Lisa Vozza, Donata Cucchi, 115x177, 2014"
9788808069986	"GERMANÒ Alberto-ROMAGNOLI Emilio"	"Art. 1628-1654"	"AFFITTO. AFFITTO DI FONDI RUSTICI. AFFITTO A COLTIVATORE DIRETTO"	"1 ed."	"Volume unico"	7950	672	"180x250, 1990"
9788808920379	"ALCOCK John-RUBENSTEIN Dustin R."	Etologia	"Un approccio evolutivo"	"Quarta edizione italiana condotta sull'undicesima edizione americana"	"Volume unico + ebook"	7400	528	", , 205x280, 2020"
9788808337313	"BERENBAUM May R.-HELLER H. Craig-HILLIS David M.-SADAVA David"	"Il carbonio, gli enzimi, il DNA"			"Chimica organica, biochimica e biotecnologie"	3010	384	", , 230x285, 2016"
9788808437495	"BERENBAUM May R.-HELLER H. Craig-HILLIS David M.-SADAVA David"	"Il carbonio, gli enzimi, il DNA"			"Biochimica, biotecnologie e scienze della Terra con elementi di chimica organica"	2900	360	", , 230x285, 2016"
9788808937483	"BERENBAUM May R.-HELLER H. Craig-HILLIS David M.-SADAVA David"	"Il carbonio, gli enzimi, il DNA"			"Biochimica e biotecnologie"	2240	248	", , 230x285, 2016"
9788808937490	"BERENBAUM May R.-HELLER H. Craig-HILLIS David M.-SADAVA David"	"Il carbonio, gli enzimi, il DNA"			"Chimica organica e dei materiali, biochimica e biotecnologie S"	3820	464	", , 230x285, 2016"
9788808954770	"BERENBAUM May R.-HELLER H. Craig-HILLIS David M.-SADAVA David"	"Il carbonio, gli enzimi, il DNA"			"Biochimica e biotecnologie con elementi di chimica organica"	2340	256	", , 237x285, 2016"
9788808932471	"BERENBAUM May R.-HELLER H. Craig-HILLIS David M.-SADAVA David"	"Il carbonio, gli enzimi, il DNA"			"Chimica organica, polimeri, biochimica e biotecnologie 2.0 S"	3770	464	", , 230x285, 2016"
9788808565587	"BERENBAUM May R.-HELLER H. Craig-HILLIS David M.-SADAVA David"	"Il carbonio, gli enzimi, il DNA"			"Polimeri, biochimica e biotecnologie 2.0 S"	2800	328	", , 230x285, 2016"
9788808236760	"PASQUETTO Sergio-PATRONE Luigi"	"Fondamenti di chimica fisica"			"Volume unico con risorse digitali Scuolabook"	3120	368	"197x266, 2012"
9788808236302	"BAROZZI Graziella-BERGAMINI Massimo-TRIFONE Anna"	"Matematica.blu 2.0"		"Seconda edizione"	"Volume 3 con Tutor"	3600	792	", , 197x265, 2016"
9788808537812	"BAROZZI Graziella-BERGAMINI Massimo-TRIFONE Anna"	"Matematica.blu 2.0"		"Seconda edizione"	"Volume 3"	3280	792	", , 197x265, 2016"
9788808755087	"BAROZZI Graziella-BERGAMINI Massimo-TRIFONE Anna"	"Matematica.blu 2.0"		"Seconda edizione"	"Volume 5 con Tutor"	3940	888	", , 197x265, 2016"
9788808833389	"BAROZZI Graziella-BERGAMINI Massimo-TRIFONE Anna"	"Matematica.blu 2.0"		"Seconda edizione"	"Volume 4 con Tutor"	3700	792	", , 197x265, 2016"
9788808845429	"BAROZZI Graziella-BERGAMINI Massimo-TRIFONE Anna"	"Matematica.blu 2.0"		"Seconda edizione"	"Volume 4"	3380	792	", , 197x265, 2016"
9788808865007	"BAROZZI Graziella-BERGAMINI Massimo-TRIFONE Anna"	"Matematica.blu 2.0"		"Seconda edizione"	"Volume 5"	3640	888	", , 197x265, 2016"
9788808184405	"BARBUJANI Guido-RELETHFORD John H."	"Genetica delle popolazioni umane"			"Volume unico"	3810	352	"Casa Editrice Ambrosiana. Distribuzione esclusiva Zanichelli, 170x240, 2013"
9788808320810	"CECCHELLA Claudio"	"Diritto e processo nelle controversie familiari e minorili"			"Volume unico"	3310	336	", , 170x240, 2018"
9788808166005	"CREMASCHI Andrea-GIOMI Francesco"	"Rumore bianco"	"Introduzione alla musica digitale"		"Volume unico"	1230	192	"Collana a cura di Lisa Vozza e Federico Tibone, 115x178, 2008"
9788808201355	"RONCHETTI Paolo"	"Il diritto e l'economia in tasca"	"seconda edizione di 50 lezioni di diritto e di economia"		"Volume A"	1210	256	"170x240, 2014"
9788808261342	"RONCHETTI Paolo"	"Il diritto e l'economia in tasca"	"seconda edizione di 50 lezioni di diritto e di economia"		"Volume unico"	2450	496	"170x240, 2014"
9788808401359	"RONCHETTI Paolo"	"Il diritto e l'economia in tasca"	"seconda edizione di 50 lezioni di diritto e di economia"		"Volume B"	1210	256	"170x240, 2014"
9788808141279	"MANDOLINI Stefania"	"Le parole della fisica.azzurro"	"con Physics in English"		"Volume unico"	4030	608	"197x266, 2012"
9788808141293	"MANDOLINI Stefania"	"Le parole della fisica.azzurro"	"con Physics in English"		"Volume 1"	2060	288	"197x266, 2012"
9788808141316	"MANDOLINI Stefania"	"Le parole della fisica.azzurro"	"con Physics in English"		"Volume 1"	2300	288	"197x266, 2012"
9788808141330	"MANDOLINI Stefania"	"Le parole della fisica.azzurro"	"con Physics in English"		"Volume 2"	1840	248	"197x266, 2012"
9788808141354	"MANDOLINI Stefania"	"Le parole della fisica.azzurro"	"con Physics in English"		"Volume 2"	2050	248	"197x266, 2012"
9788808141378	"MANDOLINI Stefania"	"Le parole della fisica.azzurro"	"con Physics in English"		"Volume 3"	2110	296	"197x266, 2012"
9788808141392	"MANDOLINI Stefania"	"Le parole della fisica.azzurro"	"con Physics in English"		"Volume 3"	2360	296	"197x266, 2012"
9788808520975	"GHERARDELLI Paola"	"Hands-on Electronics and Electrotechnology"			"Volume unico"	2290	280	", , 210x285, 2018"
9788808064295	"KOLONIA Amalìa-PERI Massimo"	"Greco antico neogreco e italiano"	"Dizionario dei prestiti e dei parallelismi"		"Volume unico"	3350	544	"11 800 lemmi ed etimologie, 100 000 traducenti, 160x215, 2008"
9788808012043		"Art. 43-78"	"Luigi Montuschi DOMICILIO E RESIDENZA. Emilio Romagnoli ASSENZA. Domenico Barillaro DICHIARAZIONE DI MORTE PRESUNTA. PARENTELA E AFFINITA'"	"1 ed."	"Volume unico"	6150	526	"177x245, 1971"
9788808019172	"RADOGNA Emanuele Filiberto"	"Tecnica delle costruzioni"			Vol.2	5400	502	"175x245, 1999"
9788808019196	"RADOGNA Emanuele Filiberto"	"Tecnica delle costruzioni"			Vol.3	3030	248	"170x240, 1999"
9788808092397	"RADOGNA Emanuele Filiberto"	"Tecnica delle costruzioni"			Vol.1	5150	416	"170x240, 1999"
9788808442130	"RONCHETTI Paolo"	"Diritto e legislazione turistica"		"Terza edizione"	"Fondamenti di diritto pubblico"	2180	440	", , 167x285, 2017"
9788808920942	"RONCHETTI Paolo"	"Diritto e legislazione turistica"		"Terza edizione"	"Fondamenti di diritto civile e commerciale"	2930	624	", , 197x285, 2017"
9788808192479	"BESTLEY Russell-NOBLE Ian"	"Comunicare con le immagini"	"Metodi e linguaggi per il graphic design"		"Volume unico"	3260	224	"Trad. Studio Buysschaert Malerba, rev. S. Sfligiotti, 220x300, 2013"
9788808737229	"CIRILLO Loredana-LANCINI Matteo-VIRDIS Giuseppe"	"Le regole della mente"	"Corso di psicologia"		"Volume unico per il secondo biennio"	2020	384	", , 197x265, 2018"
9788808100870	"TESI Riccardo"	"Storia dell'italiano"			"La formazione della lingua comune"	2860	304	"180x245, 2005"
9788808193551	"TESI Riccardo"	"Storia dell'italiano"			"La lingua moderna e contemporanea"	2860	288	"180x245, 2005"
9788808421234	"GENTILE Antonino-TIFI Alfredo-VALITUTTI Giuseppe"	"La chimica per tutti"			"Volume unico"	1750	218	", , 230x285, 2015"
9788808043504	"BRANCA Giuseppe"	"Art. 1027-1099"	"Servitù prediali"	"6 ed."	"Volume unico"	8750	648	"(1ª ed., 1947; 2ª ed., 1954; 3ª ed., 1960; 4ª ed., 1967; 5ª ed., 1979), 180x250, 1987"
9788808720887		"Advanced Learner's English Dictionary"			"Volume unico"	2930	2016	", Merriam-Webster / Zanichelli, 165x235, 2017"
9788808062550	"BAROZZI Giulio Cesare-DORE Giovanni-OBRECHT Enrico"	"Elementi di Analisi matematica"			"Volume 1"	4600	496	"197x260, 2009"
9788808437082	"BAROZZI Giulio Cesare-DORE Giovanni-OBRECHT Enrico"	"Elementi di Analisi matematica"			"Volume 2"	5700	640	"197x265, 2009"
9788808354808	"FORMICHI Fiorenzo-MEINI Giorgio-OLLARI Paolo"	"Gestione, progetto e organizzazione d'impresa"	"Per Informatica e Telecomunicazioni"		"Volume unico con risorse digitali Scuolabook"	1380	120	"197x266, 2014"
9788808000712	"ALIGHIERI Dante"	"La Divina Commedia"	"Con commento di Giuseppe Giacalone"		Paradiso	2560	774	"160x230, 1988"
9788808220660	"CARRADA Luisa"	"Scrivere un'email"	"Con voce sicura, limpida, tua"		"Volume unico"	1300	128	", , 128x267, 2017"
9788808436634	"GIACOMA Luisa-KOLB Susanne"	"il Tedesco smart"	"Dizionario Tedesco-Italiano, Italienisch-Deutsch"	"Seconda edizione"	"Versione Base"	3120	1440	", , 150x210, 2016"
9788808901484	"GIACOMA Luisa-KOLB Susanne"	"il Tedesco smart"	"Dizionario Tedesco-Italiano, Italienisch-Deutsch"	"Seconda edizione"	"Versione Plus"	4580	1440	", , 160x220, 2016"
9788808520708	"AMBROSE Susan A.-BRIDGES Michael W.-DI PIETRO Michele-LOVETT Marsha C.-MAKNOUZ Dany-NORMAN Marie K."	"Come impariamo"	"Sette principi per un insegnamento efficace"		"Volume unico"	1530	248	", , 145x210, 2017"
9788808380050	"ISONNI Damiana"	"Una donna in prima linea contro l'AIDS"	"Biografia di Antonietta Cargnel"		"Volume unico"	2800	384	", Casa Editrice Ambrosiana. Distribuzione esclusiva Zanichelli, 170x240, 2018"
9788808920638	"D'ASCANIO Maria-FASOLI Antonella"	"Atención sociosanitaria"		"seconda edizione"	"Volume unico"	2290	264	", Clitt editore. Distribuzione esclusiva Zanichelli, 196x285, 2018"
9788808185709	"REDIGOLO Domenico-WILKINSON Judith M."	"Processo infermieristico e pensiero critico"		"Terza edizione"	"Volume unico"	5100	496	"Domenico Redigolo, Casa Editrice Ambrosiana. Distribuzione esclusiva Zanichelli, 197x270, 2013"
9788808051578	"PÉREZ NAVARRO José-POLETTINI Carla"	Contacto	"Curso de español para Italianos"		"Box 3 CD audio para la clase"	4790	0	"125x140, 2003"
9788808078636	"PÉREZ NAVARRO José-POLETTINI Carla"	Contacto	"Curso de español para Italianos"		"Nivel 1 con CD audio"	3560	320	"197x267, 2003"
9788808208941	"PÉREZ NAVARRO José-POLETTINI Carla"	Contacto	"Curso de español para Italianos"		"Nivel 2 con CD audio"	3300	288	"197x267, 2003"
9788808185136	"COHEN Janice S.-KATHOL Roger G.-PEREZ Rebecca"	"Manuale di Case Management"			"Volume unico"	5100	352	"Casa Editrice Ambrosiana. Distribuzione esclusiva Zanichelli, 170x240, 2014"
9788808174161	"CRESCITELLI Maria Alessandra-DE MAIO Pascale"	"Métier et Saveurs"			"Volume per il secondo biennio"	2700	320	"Clitt editore. Distribuzione esclusiva Zanichelli, 195x285, 2013"
9788808301376	"CRESCITELLI Maria Alessandra-DE MAIO Pascale"	"Métier et Saveurs"			"Volume per il quinto anno"	2190	256	"Clitt editore. Distribuzione esclusiva Zanichelli, 195x285, 2013"
9788808090485	"FINI Andrea-NANNI Cristina"	Gnatologia			"Vol.1 Biomeccanica dell'apparato stomatognatico, protesi, ortognatodonzia"	5000	384	"Franco Lucisano editore. Distribuzione esclusiva Zanichelli, 190x260, 2000"
9788808177360	"FINI Andrea-NANNI Cristina"	Gnatologia			"Vol.2 Fisiopatologia, implantoprotesi, ortognatodonzia"	4850	352	"Franco Lucisano editore. Distribuzione esclusiva Zanichelli, 190x260, 2000"
9788808180056	"PAVAN Pietro-SARTORI Paolo"	"Problemi di fisica 2 risolti e commentati"		"Terza edizione"	"Volume unico"	3100	288	"Casa Editrice Ambrosiana. Distribuzione esclusiva Zanichelli, 215x280, 2006"
9788808269522	"CIUCCI Donatella-TONCELLI Fabrizia"	Stechiometria			"Volume unico con risorse digitali Scuolabook"	1210	136	"197x266, 2013"
9788808737885	"RODATO Silvano"	"Alimentazione oggi"	"Scienza e cultura dell'alimentazione per i servizi di enogastronomia e di sala e vendita"		"Volume unico per il quinto anno"	2300	320	", Clitt editore. Distribuzione esclusiva Zanichelli, 230x285, 2015"
9788808720283	"FOSSEN Haakon"	"Geologia strutturale"		"Prima edizione italiana condotta sulla seconda edizione inglese"	"Volume unico + ebook"	5901	528	", , 0x0, 2020"
9788808085917	"RESNICK Robert-UGUZZONI Arnaldo"	"Introduzione alla relatività ristretta"			"Volume unico"	2340	244	"Casa Editrice Ambrosiana. Distribuzione esclusiva Zanichelli, 170x240, 1979"
9788808066411		"Biblioteca Italiana Zanichelli"	"DVD-ROM per Windows per la ricerca in testi, biografie, trame e concordanze della Letteratura italiana"		DVD-ROM	12450	244	"Testi a cura di Pasquale Stoppelli, 140x190, 2010"
9788808280015	"GUIDORZI Cristiano-ZANZI Andrea"	"Problemi di Fisica generale 1"	"Meccanica, Onde, Fluidodinamica, Termodinamica"		"Volume unico"	3200	416	", , 170x240, 2017"
9788808436290	"CIRILLO Loredana-LANCINI Matteo-VIRDIS Giuseppe"	"Imparare, osservare, comunicare"	"La psicologia al tempo dei social network"	"edizione rossa"	"Volume unico"	2110	408	", , 197x266, 2015"
9788808066435	"MONTIXI COMOGLIO Laura"	"Verbi inglesi"	"Manuale pratico per l'uso"		"Volume unico"	2670	368	"145x210, 2011"
9788808076779	"ARAGONA Raffaele"	Oplepiana	"Dizionario di letteratura potenziale"		"Volume unico"	2000	208	"155x215, 2002"
9788808267047	"IARRERA Francesco-PILOTTI Giorgio"	"Atlante del mondo d'oggi"			"Volume unico"	1720	216	", , 230x285, 2015"
9788808083999	"SILVESTRONI Paolo"	"Chimica generale"	"Con elementi di inorganica e con problemi numerici"	"Quarta edizione"	"Volume unico"	7500	768	"Casa Editrice Ambrosiana. Distribuzione esclusiva Zanichelli, 170x240, 1997"
9788808524973	"CINTI Danilo-CUTNELL John D-JOHNSON Kenneth W-STADLER Shane-YOUNG David"	"La fisica di Cutnell e Johnson.azzurro"			"Volume per il secondo biennio"	3480	568	", , 210x285, 2020"
9788808688064	"CINTI Danilo-CUTNELL John D-JOHNSON Kenneth W-STADLER Shane-YOUNG David"	"La fisica di Cutnell e Johnson.azzurro"			"Volume per il quinto anno"	2360	352	", , 210x285, 2020"
9788808258564	"BERTOLOTTI Angelo"	"I controlli nella s.p.a."			"Volume unico"	13700	704	", , 180x245, 2018"
9788808298362	"CAMEROTA Filippo"	"Itinerario nel disegno"			"Volume 2"	1850	256	", , 230x285, 2019"
9788808620958	"CAMEROTA Filippo"	"Itinerario nel disegno"			"Volume 1"	2100	392	", , 230x285, 2019"
9788808220929	"STANCARI Chiara"	"Pronti per l'INVALSI"	"di italiano"		"Volume unico"	980	168	", , 197x265, 2017"
9788808521262	"CHINNERY Patrick-GOODSHIP Judit-STRACHAN Tom"	"Genetica & Genomica nelle scienze mediche"			"Volume unico"	5650	512	"Rev. di R. Tupler, trad. di R. Leghissa e M. Vecchioni,, , 197x270, 2016"
9788808364524	"ARMELLINI Guido-BOSI Luigi-COLOMBO Adriano-MARCHESINI Matteo"	"Con altri occhi"	"La letteratura e i testi"		"Volume 5"	2140	672	", , 197x265, 2018"
9788808375292	"ARMELLINI Guido-BOSI Luigi-COLOMBO Adriano-MARCHESINI Matteo"	"Con altri occhi"	"La letteratura e i testi"		"Giacomo Leopardi"	700	160	", , 197x265, 2018"
9788808433046	"ARMELLINI Guido-BOSI Luigi-COLOMBO Adriano-MARCHESINI Matteo"	"Con altri occhi"	"La letteratura e i testi"		"Volume 4"	1940	544	", , 197x265, 2018"
9788808667977	"ARMELLINI Guido-BOSI Luigi-COLOMBO Adriano-MARCHESINI Matteo"	"Con altri occhi"	"La letteratura e i testi"		"Volume 6"	2860	1184	", , 197x265, 2018"
9788808794253	"ARMELLINI Guido-BOSI Luigi-COLOMBO Adriano-MARCHESINI Matteo"	"Con altri occhi"	"La letteratura e i testi"		"Volume 3"	2240	656	", , 197x265, 2018"
9788808820846	"ARMELLINI Guido-BOSI Luigi-COLOMBO Adriano-MARCHESINI Matteo"	"Con altri occhi"	"La letteratura e i testi"		"Volume 1"	2140	608	", , 197x265, 2018"
9788808843197	"ARMELLINI Guido-BOSI Luigi-COLOMBO Adriano-MARCHESINI Matteo"	"Con altri occhi"	"La letteratura e i testi"		"Volume 2"	2140	640	", , 197x265, 2018"
9788808251855	"ARMELLINI Guido-BOSI Luigi-COLOMBO Adriano-MARCHESINI Matteo"	"Con altri occhi"	"La letteratura e i testi"		"Scrivere e parlare bene. Verso il nuovo esame di Stato"	990	240	", , 197x266, 2018"
9788808543738	"MENAGGIA Giorgio-RONCALLI Wilma"	"Le filiere agroalimentari"	"Processi e tecnologie di trasformazione"		"Volume unico"	2400	320	", Franco Lucisano editore. Distribuzione esclusiva Zanichelli, 197x265, 2018"
9788808058836		"Riti speciali di cognizione"	"Commentario al d.lgs. 1° settembre 2011, n.150 di Rosanna De Nictolis"		"Volume unico"	11330	688	"180x245, 2012"
9788808820969	"CALLEGARI Mia-CAVALLI Gino"	"Lezioni sui contratti bancari"		"Terza edizione"	"Volume unico"	4000	304	", , 170x240, 2019"
9788808195838	"ADVOKAT Claire D.-COMATY Joseph E.-JULIEN Robert M"	"Droghe e farmaci psicoattivi"		"Seconda edizione italiana condotta sulla dodicesima edizione americana"	"Volume unico"	5850	688	"Rev. di A. Sala, trad. di C. Buccellati, 170x240, 2012"
9788808167224	"CALVO Roberto"	"ART. 1100 - 1116"	"Comunione in generale"		"Volume unico"	6900	352	", , 170x250, 2019"
9788808520357	"BAGARELLO Fabio"	"Metodi matematici per fisici e ingegneri"		"seconda edizione"	"Volume unico"	4440	456	", , 170x240, 2019"
9788808834928	"CAVAZZUTI Cristina-GANDOLA Laura-ODONE Roberto"	"Terra, acqua, aria"		"Seconda edizione di La Terra intorno a noi"	"Volume unico"	1770	208	"210x285, 2014"
9788808008244	"GAMOW George"	"Trent'anni che sconvolsero la fisica"	"La storia della teoria dei quanti"		"Volume unico"	1700	205	"Trad. di L. Felici, 66 i., 114x187, 1966"
9788808617262	"GHIDELLI Roberta-RIPAMONTI Susanna-TARTUFERI Tatiana"	"Società che cambiano edizione rossa"	"Corso di sociologia"		"Volume unico"	2310	480	", , 197x265, 2018"
9788808620972	"GINEPRINI Mario-PANEBIANCO Beatrice-SEMINARA Simona"	"Vivere la letteratura"			"Volume 1"	2570	752	", , 197x265, 2019"
